Time,PH 1M,5Y CDS,CR,ON RRP
October 2018,4.722,98.026,9,4.5
November 2018,5.104,93.407,9,4.75
December 2018,5.406,88.231,9,4.75
January 2019,5.4,70.257,9,4.75
February 2019,5.494,61.051,9,4.75
March 2019,5.588,58.382,9,4.75
April 2019,5.559,50.74,8,4.75
May 2019,5.153,62.879,8,4.5
June 2019,4.287,48.984,8,4.5
July 2019,3.67,45.19,8,4.5
August 2019,3.204,48.208,8,4.25
September 2019,2.999,48.077,8,4
October 2019,3.042,39.836,8,4
November 2019,3.091,40.152,8,4
December 2019,3.114,33.54,8,4
January 2020,3.2,41.524,8,4
February 2020,2.929,54.88,8,3.75
March 2020,3.142,104.411,8,3.25
April 2020,3.02,80.481,8,2.75
May 2020,2.02,74.954,8,2.75
June 2020,1.825,65.583,8,2.25
July 2020,1.293,55.653,8,2.25
August 2020,1.132,44.903,8,2.25
September 2020,0.982,55.95,8,2.25
October 2020,1.035,46.838,8,2.25
November 2020,1.065,35.966,8,2
December 2020,0.993,35.554,8,2
January 2021,1.09,41.843,8,2
February 2021,0.9295,40.836,8,2
March 2021,1.1106,44.758,8,2
April 2021,1.2127,46.042,8,2
May 2021,1.1277,46.224,8,2
June 2021,0.8981,43.562,8,2
July 2021,0.9538,50.93,8,2
August 2021,1.0169,44.393,8,2
September 2021,1.043,51.559,8,2
October 2021,1.0546,56.542,8,2
November 2021,1.0992,68.64,8,2
December 2021,1.0148,56.126,8,2
January 2022,0.646,72.727,8,2
February 2022,0.962,95.723,8,2
March 2022,1.1764,78.674,8,2
April 2022,1.1141,110.681,8,2
May 2022,1.2264,95.443,8,2
June 2022,1.4212,129.583,8,2.5
July 2022,1.9219,104.14,8,3.25
August 2022,1.8814,101.29,8,3.75
September 2022,2.698,149.629,8,4.25
October 2022,3.1913,126.85,8,4.25
November 2022,3.8264,92.338,8,5
December 2022,3.919,97.112,8,5.5
