Time,PH 1Y,5Y CDS,INF,ON RRP,OP,
October 2018,6.564,98.026,7.1,4.5,65.31,
November 2018,6.602,93.407,6.3,4.75,50.93,
December 2018,6.783,88.231,5.4,4.75,45.41,
January 2019,5.997,70.257,4.4,4.75,53.79,
February 2019,6.055,61.051,3.8,4.75,57.22,
March 2019,6.097,58.382,3.4,4.75,60.14,
April 2019,6.132,50.74,3.2,4.75,63.91,
May 2019,5.67,62.879,3.2,4.5,53.5,
June 2019,4.969,48.984,2.7,4.5,58.47,
July 2019,4.307,45.19,2.2,4.5,58.58,
August 2019,3.687,48.208,1.4,4.25,55.1,
September 2019,3.704,48.077,0.5,4,54.07,
October 2019,3.615,39.836,0.6,4,54.18,
November 2019,3.51,40.152,1.2,4,55.17,
December 2019,3.415,33.54,2.4,4,61.06,
January 2020,3.896,41.524,3,4,51.56,
February 2020,3.846,54.88,2.5,3.75,44.76,
March 2020,3.772,104.411,2.2,3.25,20.48,
April 2020,3.01,80.481,1.8,2.75,18.84,
May 2020,2.512,74.954,1.6,2.75,35.49,
June 2020,2.161,65.583,2.3,2.25,39.27,
July 2020,1.805,55.653,2.4,2.25,40.27,
August 2020,1.815,44.903,2.2,2.25,42.61,
September 2020,1.845,55.95,2.2,2.25,40.22,
October 2020,1.821,46.838,2.3,2.25,35.79,
November 2020,1.704,35.966,3,2,45.34,
December 2020,1.712,35.554,3.3,2,48.52,
January 2021,1.53,41.843,3.7,2,52.2,
February 2021,1.5555,40.836,4.2,2,61.5,
March 2021,1.9078,44.758,4.1,2,59.16,
April 2021,1.8816,46.042,4.1,2,63.58,
May 2021,1.8121,46.224,4.1,2,66.32,
June 2021,1.6028,43.562,3.7,2,73.47,
July 2021,1.6361,50.93,3.7,2,73.95,
August 2021,1.6333,44.393,4.4,2,68.5,
September 2021,1.6617,51.559,4.2,2,75.03,
October 2021,1.6228,56.542,4,2,83.57,
November 2021,1.675,68.64,3.7,2,66.18,
December 2021,1.6597,56.126,3.1,2,75.21,
January 2022,1.4474,72.727,3,2,88.15,
February 2022,1.5622,95.723,3,2,95.72,
March 2022,1.7328,78.674,4,2,100.28,
April 2022,1.9332,110.681,4.9,2,104.69,
May 2022,2.0773,95.443,5.4,2,114.67,
June 2022,2.5699,129.583,6.1,2.5,105.76,
July 2022,3.2775,104.14,6.4,3.25,98.62,
August 2022,3.8685,101.29,6.3,3.75,89.55,
September 2022,3.9022,149.629,6.9,4.25,79.49,
October 2022,4.888,126.85,7.7,4.25,86.53,
November 2022,5.2648,92.338,8,5,80.55,
December 2022,5.2099,97.112,8.1,5.5,80.26,
