Time,PH 20Y,5Y CDS,GF,INF,VT
October 2018,8.339,98.026,1288.20,7.1,163668.21
November 2018,7.612,93.407,1292.70,6.3,214680.84
December 2018,7.491,88.231,1347.10,5.4,147497.11
January 2019,6.668,70.257,1384.00,4.4,417734.07
February 2019,6.644,61.051,1375.30,3.8,220723.23
March 2019,5.819,58.382,1350.40,3.4,567064.91
April 2019,6.087,50.74,1340.40,3.2,279044.03
May 2019,5.751,62.879,1357.50,3.2,572625.36
June 2019,5.177,48.984,1452.90,2.7,507641.98
July 2019,5.017,45.19,1473.30,2.2,780664.34
August 2019,4.813,48.208,1563.10,1.4,672307.93
September 2019,5.022,48.077,1514.50,0.5,324476.55
October 2019,5.082,39.836,1556.90,0.6,388885.71
November 2019,5.283,40.152,1510.70,1.2,302437.95
December 2019,5.159,33.54,1567.60,2.4,261630.34
January 2020,5.051,41.524,1626.10,3.0,543657.45
February 2020,4.763,54.88,1596.60,2.5,727712.83
March 2020,5.061,104.411,1606.70,2.2,486090.89
April 2020,4.321,80.481,1713.20,1.8,440023.62
May 2020,3.949,74.954,1776.80,1.6,629255.31
June 2020,3.543,65.583,1836.50,2.3,713173.84
July 2020,3.532,55.653,2026.90,2.4,486601.61
August 2020,3.52,44.903,2009.50,2.2,565407.47
September 2020,3.876,55.95,1931.70,2.2,419789.75
October 2020,3.953,46.838,1918.30,2.3,331786.58
November 2020,3.858,35.966,1807.20,3.0,317083.64
December 2020,3.965,35.554,1921.10,3.3,474792.55
January 2021,3.932,41.843,1864.00,3.7,632393.95
February 2021,4.4601,40.836,1745.90,4.2,427418.27
March 2021,4.9389,44.758,1727.30,4.1,451169.37
April 2021,4.8299,46.042,1780.20,4.1,386249.95
May 2021,4.9292,46.224,1916.80,4.1,449459.62
June 2021,4.9661,43.562,1782.50,3.7,632531.47
July 2021,4.7615,50.93,1823.80,3.7,445158.99
August 2021,4.9748,44.393,1825.10,4.4,456660.20
September 2021,5.4027,51.559,1762.30,4.2,417319.29
October 2021,5.1552,56.542,1790.70,4.0,299614.13
November 2021,5.0168,68.64,1781.90,3.7,319825.53
December 2021,5.0908,56.126,1835.90,3.1,319070.85
January 2022,5.0082,72.727,1802.20,3.0,381583.82
February 2022,5.7606,95.723,1907.40,3.0,332089.27
March 2022,5.6235,78.674,1959.50,4.0,402110.32
April 2022,6.0548,110.681,1918.60,4.9,433534.50
May 2022,6.612,95.443,1848.40,5.4,406501.69
June 2022,6.6422,129.583,1807.30,6.1,338609.13
July 2022,6.8984,104.14,1762.90,6.4,490104.45
August 2022,6.5976,101.29,1716.90,6.3,586430.42
September 2022,7.4005,149.629,1662.40,6.9,431679.99
October 2022,7.2864,126.85,1640.70,7.7,310967.46
November 2022,7.5723,92.338,1746.00,8,430869.99
December 2022,7.2234,97.112,1826.20,8.1,341169.08
