Time,PH 5Y,5Y CDS,INF,ON RRP,US 7Y,VT
October 2018,7.559,98.026,7.1,4.50,3.0624,163668.21
November 2018,6.975,93.407,6.3,4.75,2.8973,214680.84
December 2018,7.037,88.231,5.4,4.75,2.5857,147497.11
January 2019,6.228,70.257,4.4,4.75,2.5172,417734.07
February 2019,6.164,61.051,3.8,4.75,2.6205,220723.23
March 2019,5.627,58.382,3.4,4.75,2.3132,567064.91
April 2019,5.886,50.74,3.2,4.75,2.3872,279044.03
May 2019,5.541,62.879,3.2,4.50,2.0167,572625.36
June 2019,4.997,48.984,2.7,4.50,1.875,507641.98
July 2019,4.668,45.19,2.2,4.50,1.9133,780664.34
August 2019,4.173,48.208,1.4,4.25,1.4505,672307.93
September 2019,4.481,48.077,0.5,4.00,1.6131,324476.55
October 2019,4.259,39.836,0.6,4.00,1.6037,388885.71
November 2019,4.256,40.152,1.2,4.00,1.7274,302437.95
December 2019,4.061,33.54,2.4,4.00,1.8313,261630.34
January 2020,4.382,41.524,3.0,4.00,1.4199,543657.45
February 2020,4.117,54.88,2.5,3.75,1.0623,727712.83
March 2020,4.596,104.411,2.2,3.25,0.5407,486090.89
April 2020,3.305,80.481,1.8,2.75,0.5342,440023.62
May 2020,2.756,74.954,1.6,2.75,0.4977,629255.31
June 2020,2.439,65.583,2.3,2.25,0.4909,713173.84
July 2020,2.443,55.653,2.4,2.25,0.3818,486601.61
August 2020,2.544,44.903,2.2,2.25,0.4886,565407.47
September 2020,2.733,55.95,2.2,2.25,0.4704,419789.75
October 2020,2.75,46.838,2.3,2.25,0.6419,331786.58
November 2020,2.639,35.966,3.0,2.00,0.6113,317083.64
December 2020,2.503,35.554,3.3,2.00,0.6433,474792.55
January 2021,2.584,41.843,3.7,2.00,0.7546,632393.95
February 2021,3.027,40.836,4.2,2.00,1.118,427418.27
March 2021,3.3947,44.758,4.1,2.00,1.4195,451169.37
April 2021,3.2305,46.042,4.1,2.00,1.3086,386249.95
May 2021,3.1927,46.224,4.1,2.00,1.2617,449459.62
June 2021,3.0167,43.562,3.7,2.00,1.236,632531.47
July 2021,2.9925,50.93,3.7,2.00,0.9954,445158.99
August 2021,2.9505,44.393,4.4,2.00,1.0855,456660.20
September 2021,3.239,51.559,4.2,2.00,1.2851,417319.29
October 2021,3.7771,56.542,4.0,2.00,1.4504,299614.13
November 2021,4.0606,68.64,3.7,2.00,1.3708,319825.53
December 2021,4.1966,56.126,3.1,2.00,1.4363,319070.85
January 2022,4.2735,72.727,3.0,2.00,1.7381,381583.82
February 2022,4.8565,95.723,3.0,2.00,1.8058,332089.27
March 2022,5.1513,78.674,4.0,2.00,2.4287,402110.32
April 2022,5.2606,110.681,4.9,2.00,2.9771,433534.50
May 2022,5.7776,95.443,5.4,2.00,2.8691,406501.69
June 2022,5.94,129.583,6.1,2.5,3.0751,338609.13
July 2022,5.7181,104.14,6.4,3.25,2.6891,490104.45
August 2022,5.5687,101.29,6.3,3.75,3.314,586430.42
September 2022,6.2904,149.629,6.9,4.25,3.9886,431679.99
October 2022,6.7549,126.85,7.7,4.25,4.1479,310967.46
November 2022,6.6457,92.338,8,5,3.6835,430869.99
December 2022,6.47,97.112,8.1,5.5,3.973,341169.08
