Time,PH 7Y,5Y CDS,GF,INF,ON RRP,US 7Y,VT
October 2018,7.848,98.026,1288.20,7.1,4.5,3.0624,163668.21
November 2018,6.999,93.407,1292.70,6.3,4.75,2.8973,214680.84
December 2018,7.061,88.231,1347.10,5.4,4.75,2.5857,147497.11
January 2019,6.3,70.257,1384.00,4.4,4.75,2.5172,417734.07
February 2019,6.252,61.051,1375.30,3.8,4.75,2.6205,220723.23
March 2019,5.599,58.382,1350.40,3.4,4.75,2.3132,567064.91
April 2019,5.896,50.74,1340.40,3.2,4.75,2.3872,279044.03
May 2019,5.559,62.879,1357.50,3.2,4.5,2.0167,572625.36
June 2019,5.037,48.984,1452.90,2.7,4.5,1.875,507641.98
July 2019,4.726,45.19,1473.30,2.2,4.5,1.9133,780664.34
August 2019,4.322,48.208,1563.10,1.4,4.25,1.4505,672307.93
September 2019,4.67,48.077,1514.50,0.5,4,1.6131,324476.55
October 2019,4.479,39.836,1556.90,0.6,4,1.6037,388885.71
November 2019,4.515,40.152,1510.70,1.2,4,1.7274,302437.95
December 2019,4.279,33.54,1567.60,2.4,4,1.8313,261630.34
January 2020,4.427,41.524,1626.10,3.0,4,1.4199,543657.45
February 2020,4.249,54.88,1596.60,2.5,3.75,1.0623,727712.83
March 2020,4.676,104.411,1606.70,2.2,3.25,0.5407,486090.89
April 2020,3.413,80.481,1713.20,1.8,2.75,0.5342,440023.62
May 2020,2.949,74.954,1776.80,1.6,2.75,0.4977,629255.31
June 2020,2.632,65.583,1836.50,2.3,2.25,0.4909,713173.84
July 2020,2.642,55.653,2026.90,2.4,2.25,0.3818,486601.61
August 2020,2.704,44.903,2009.50,2.2,2.25,0.4886,565407.47
September 2020,2.894,55.95,1931.70,2.2,2.25,0.4704,419789.75
October 2020,2.938,46.838,1918.30,2.3,2.25,0.6419,331786.58
November 2020,2.838,35.966,1807.20,3.0,2,0.6113,317083.64
December 2020,2.783,35.554,1921.10,3.3,2,0.6433,474792.55
January 2021,2.826,41.843,1864.00,3.7,2,0.7546,632393.95
February 2021,3.4814,40.836,1745.90,4.2,2,1.118,427418.27
March 2021,4.0138,44.758,1727.30,4.1,2,1.4195,451169.37
April 2021,3.6236,46.042,1780.20,4.1,2,1.3086,386249.95
May 2021,3.7084,46.224,1916.80,4.1,2,1.2617,449459.62
June 2021,3.5098,43.562,1782.50,3.7,2,1.236,632531.47
July 2021,3.4992,50.93,1823.80,3.7,2,0.9954,445158.99
August 2021,3.5866,44.393,1825.10,4.4,2,1.0855,456660.20
September 2021,3.8778,51.559,1762.30,4.2,2,1.2851,417319.29
October 2021,4.3981,56.542,1790.70,4.0,2,1.4504,299614.13
November 2021,4.5267,68.64,1781.90,3.7,2,1.3708,319825.53
December 2021,4.6311,56.126,1835.90,3.1,2,1.4363,319070.85
January 2022,4.7963,72.727,1802.20,3.0,2,1.7381,381583.82
February 2022,5.2544,95.723,1907.40,3.0,2,1.8058,332089.27
March 2022,5.5823,78.674,1959.50,4.0,2,2.4287,402110.32
April 2022,5.7214,110.681,1918.60,4.9,2,2.9771,433534.50
May 2022,6.3114,95.443,1848.40,5.4,2,2.8691,406501.69
June 2022,6.5434,129.583,1807.30,6.1,2.5,3.0751,338609.13
July 2022,6.0617,104.14,1762.90,6.4,3.25,2.6891,490104.45
August 2022,5.9213,101.29,1716.90,6.3,3.75,3.314,586430.42
September 2022,6.7166,149.629,1662.40,6.9,4.25,3.9886,431679.99
October 2022,7.0822,126.85,1640.70,7.7,4.25,4.1479,310967.46
November 2022,6.8638,92.338,1746.00,8,5,3.6835,430869.99
December 2022,6.6585,97.112,1826.20,8.1,5.5,3.973,341169.08
